id,meaning_id,lemma,morphology,ipa,meaning_ru,examples,definition
1209,1,веща,"-дил, -ла",weša,,ливгьатте гувазив вешша подлый изменник; вешша уси поймать предателя; вешшадил ххял ниссила уй вибиккай изменник предал много наших людей,"вещабе; изменник, предатель; ливгьатте гувазив вешша подлый изменник; вешша уси поймать предателя; вешшадил ххял ниссила уй вибиккай изменник предал много наших людей."
1210,1,вибалъ-и,"виялъи, мн. I-II (вивалъи, виялъи, видалъи), -ин, -ун, -унзиб, -ин",wibalʔ-i,,"I-II (вивалъи, виялъи; видалъи), -ин, -ун, -унзиб, -ин; ххамхха вибалъи бихуласаб тело не может напрячься; укалгуджуд усе видалъун сад упряжка быков в арбе напряглась",сов. напрячься; ххамхха вибалъи бихуласаб тело не может напрячься; укалгуджуд усе видалъун сад упряжка быков в арбе напряглась. || несов. вилуи.
1211,1,виба,"-и, -ул, -узиб, -и",wiba,,о плохой привычке: бросать (курить и др; атта ххялжина пIапIрус вибати чихехви отец много раз пытался бросать курить; пIапIрус вибатузивли духтурра кумак бажил саб бросающему курить нужна помощь врача,несов. о плохой привычке: бросать (курить и др.); атта ххялжина пIапIрус вибати чихехви отец много раз пытался бросать курить; пIапIрус вибатузивли духтурра кумак бажил саб бросающему курить нужна помощь врача. || сов. вибати́.
1212,1,вибат-и,"-и, -ул, -узиб, -и",wibat-i,,"бросить, перестать (курить и т; пIапIрус вибати биккулда хочу бросить курить; дич тамал видатид давно бросил пить; вибацIибзиб диг поджаренное мясо; вибацIиб диквалла тIим вкус плова с поджаркой","сов. бросить, перестать (курить и т.д.); пIапIрус вибати биккулда хочу бросить курить; дич тамал видатид давно бросил пить (спиртное); я дич, я пIапIрус вибатузив инсан пашман ухилласав человек бросивший пить или курить не пожалеет. || несов. виба́ти. ВИБАЦIИБ/ЗИБ (мн. видацIибжуд) поджаренный; вибацIибзиб диг поджаренное мясо; вибацIиб диквалла тIим вкус плова с поджаркой. ♦ ВибацIиб диква плов со шкварками (поджаренные кусочки сушеного мяса)."
1213,1,вибач,"вибакIай, -иб, -ибзиб, -вибакIа",wibač,,цциххиннигу гьаццай вибакIай подперли балку столбом; дибгал вибачIи ухе смог подпереть накрепко; вибачIибзиб къямкъялдил малла бикIа гужле тIаштабагъай подпертые вилы еле сдержали большую копну сена,сов. подпереть; цциххиннигу гьаццай вибакIай подперли балку столбом; дибгал вибачIи ухе смог подпереть накрепко; вибачIибзиб къямкъялдил малла бикIа гужле тIаштабагъай подпертые вилы еле сдержали большую копну сена. || несов. вибичIи.
1214,1,виба,"вибаккай, -иб, -ибзиб, вибакка",wiba,,"свернуть, скатать, собрать, сложить; юргъан вибаччи свернуть одеяло; бушла палтар видаччи сложить постель; вибаккузиб тIамсса имсбекунде свернутый ковер съела моль","сов. свернуть, скатать, собрать, сложить; юргъан вибаччи свернуть одеяло; бушла палтар видаччи сложить постель; вибаккузиб тIамсса имсбекунде свернутый ковер съела моль. || несов. вибуччи."
1215,1,вибаша,"-е, вибахьахьул, вибахьахьузиб, -е",wibaša,,вибахьахьузиб кьюл яловая корова; ниссила вибахьахьузиб кьюл квибисада мы продали яловую корову,сов. и несов. яловеть; вибахьахьузиб кьюл (постоянно) яловая корова; ниссила вибахьахьузиб кьюл квибисада мы продали яловую корову.
1216,1,вибдахала,"-лдил, -лла виттахле, виттахлуме",wibdaχala,,традиционная каймовая полоса-подзор для головной накидки; укьатсиб вибдахала широкая каймовая полоса; талалла вибдахала старинная каймовая полоса-подзор; юссилдил паксиб вибдахала бидигай девушка вышила красивую каймовую полосу-подзор; детали для украшения женского головного убора,традиционная каймовая полоса-подзор для головной накидки; укьатсиб вибдахала широкая каймовая полоса; талалла вибдахала старинная каймовая полоса-подзор; юссилдил паксиб вибдахала бидигай девушка вышила красивую каймовую полосу-подзор. ♦ Виттахле-чуме собир. детали для украшения женского головного убора (накидки).
1217,1,вибдах-и,"-и, -ул, -узиб, -и",wibdaχ-i,,чуме виттахи подшить бахрому; къирагъ вибдахи подшить полоску; виттахужуд лумкке подшитые каймовые полоски; виттахужуд чуме дюкьяжудде подшитая бахрома была красивая,сов. подшить; чуме виттахи подшить бахрому; къирагъ вибдахи подшить (декоративную) полоску; виттахужуд лумкке подшитые каймовые полоски; виттахужуд чуме дюкьяжудде подшитая бахрома была красивая. || несов. вибдухи.
1218,1,вибехьв-и,"-ай, -уб, -убзиб, -а",wibexw-i,,"бяччя гьихъле видехьви декъай отнес мусор, чтобы выбросить подальше; вибехьубзиб пакьа брошенная палка; вибехьуб ттимиллихъли гал гьегъе вимди мальчик побежал за брошенным мячом","сов. выбросить; бяччя гьихъле видехьви декъай отнес мусор, чтобы  выбросить подальше; вибехьубзиб пакьа брошенная палка; вибехьуб ттимиллихъли гал гьегъе вимди мальчик побежал за брошенным мячом. || несов. вибихьви."
1219,1,вибехьв-и,"-ай, -уб, -убзиб, -а",wibexw-i,,"пIапIруссади дилуккунжуд ас, видехьвне саб деньги, потраченные на папиросы , что выбрасывание; вибехьубзиб ккуле гьакал гIямчIулде шкура, которую выбросил, сильно полиняла","сов. выбросить; пIапIруссади дилуккунжуд ас, видехьвне саб деньги, потраченные на папиросы (курево), что выбрасывание (на ветер); вибехьубзиб ккуле гьакал гIямчIулде шкура, которую выбросил, сильно полиняла. || несов. вибихьви."
1220,1,вибец,"-ай, -иб, -ибзиб, -а",wibec,,диг вибецIи поджарить мясо; вибецIибзиб бихяжай поджаренная колбаса; пуварридил гIягIя ихьвле вибецIай повар быстро поджарил курицу,сов. поджарить; диг вибецIи поджарить мясо; вибецIибзиб бихяжай поджаренная колбаса; пуварридил гIягIя ихьвле вибецIай повар быстро поджарил курицу. || несов. вибуцIи.
1221,1,вибиганна,"-лдил, -лла, ед.",wibiganna,,вибиганна хIяз игра в прятки; вибиганна бикьи играть в прятки; бикIате дахъе вибиганна бикьул каттилжин дети долго играли в прятки,игр. прятки;; вибиганна хIяз игра в прятки; вибиганна бикьи играть в прятки; бикIате дахъе вибиганна бикьул каттилжин дети долго играли в прятки.
1222,1,вибидукiан // вибидукiла,"-нидил, -на, -те",wibidukian // wibidukila,,деталь пояса для продевания наконечника ремня; мазгайла вибидукIла медная накладка для продевания наконечника; гьабиччибзиб асла ижилла вибидукIла гравированная накладка из серебра для продевания наконечника пояса; вибидукIан цIубла бакьи изготовить деталь пояса для вдевания наконечника,деталь пояса для продевания наконечника ремня; мазгайла вибидукIла медная накладка для продевания наконечника; гьабиччибзиб асла ижилла вибидукIла гравированная накладка из серебра для продевания наконечника пояса; вибидукIан цIубла бакьи изготовить деталь пояса для вдевания наконечника.
1223,1,вибиж-и,"вибигай, -иб, -ибзиб, вибига",wibiž-i,,чакма видижи подшить сапоги; вибижибзиб дулкка подшитый рукав; дила каххала юццилдил гIяхле вибигай сестра хорошо подшила мой воротник,сов. подшить; чакма видижи подшить сапоги; вибижибзиб дулкка подшитый рукав; дила каххала юццилдил гIяхле вибигай сестра хорошо подшила мой воротник. || несов. вибижи.
1224,1,виби,"вибигу, вибигул, вибигузиб, вибига",wibi,,чакма видижи подшивать сапоги; вибигузиб дуркка подшиваемый рукав; каххала юццилдил гIяхле вибижи йихва сестра умеет хорошо подшивать воротник,несов. подшивать; чакма видижи подшивать сапоги; вибигузиб дуркка подшиваемый рукав; каххала юццилдил гIяхле вибижи йихва сестра умеет хорошо подшивать воротник. || сов. вибижи.
1225,1,виби,"вийижи, видижи), вибигу, вибигул, вибигузиб, -е, мн. I-II (вивижи, вийижи, видижи), вибигу, вибигул, вибигузиб, -е",wibi,,"I-II , вибигу, вибигул, вибигузиб, -е; духъе вивижи прятаться в хлеву; вибигузиб мусса место, где можно прятаться; бикIатадди вибигузиб хIяз биччихъу дети любят игру в прятки; талал нусса кумхад малцце видигул дихвада раньше мы прятались на сеновале; ултал вивигул акквай, ид ниссишшу сахьуладе только прячась от людей, он приходил к нам","несов. прятаться; духъе вивижи прятаться в хлеву; вибигузиб мусса место, где можно прятаться; бикIатадди вибигузиб хIяз биччихъу дети любят игру в прятки; талал нусса кумхад малцце видигул дихвада раньше мы прятались на сеновале; ултал вивигул акквай, ид ниссишшу сахьуладе только прячась от людей, он приходил к нам. || сов. вибижи́."
1226,1,вибиж-и,"вийижи, мн. I-II (вивижи, вийижи, видижи, вибижи), -е, -иб, -ибзиб, -е",wibiž-i,,"I-II (вивижи, вийижи; видижи, вибижи), -е, -иб, -ибзиб, -е; цIябгутнаб саматле бихва вивижи в темноте легко спрятаться; бикIате вибижи биккулде дети хотели спрятаться; гуладдил вийижибзий юссе яккай мальчики нашли спрятавшуюся девочку",сов. спрятаться; цIябгутнаб саматле бихва вивижи в темноте легко спрятаться; бикIате вибижи биккулде дети хотели спрятаться; гуладдил вийижибзий юссе яккай мальчики нашли спрятавшуюся девочку. || несов. вибижи.
1227,1,вибикквала,"-лдил, -лла вибиклуме",wibikkwala,,"подгоревший остаток плова, каши на дне котла; вибикквалалла тIим вкус подгоревшей каши; палавла вибикквала подгоревший остаток плова; лутIе букIулзиб гIяшаклиб ихьвле вибикквала ага в тонкодонной кастрюле быстрее подгорает пища","подгоревший остаток плова, каши на дне котла; вибикквалалла тIим вкус подгоревшей каши; палавла вибикквала подгоревший остаток плова; лутIе букIулзиб гIяшаклиб ихьвле вибикквала ага в тонкодонной кастрюле быстрее подгорает пища."
1228,1,вибиккв-и,"-е, -уб, -убзиб, -а",wibikkw-i,,"гьашше вибиккве каша подгорела; вибиккуб гIяшак зябухе кастрюля, где подгорела пища, испортилась; вибиккубзиб гьашше гIюгIнадди биккада подгоревшую кашу насыпали курам","сов. подгореть; гьашше вибиккве каша подгорела; вибиккуб гIяшак зябухе кастрюля, где подгорела пища, испортилась; вибиккубзиб гьашше гIюгIнадди биккада подгоревшую кашу насыпали курам. || несов. вилуччи."
1229,1,ви,"-у, -ул, -узиб, -а",wi,,гIячилла яракь синна муссана видикъи уносить рабочий инструмент на свое место; цIиквайла видикъужуд сикIабха тикле каттихьада уносимые невестой вещи положили отдельно; усул видикъи даццида устали перетаскивать дрова; иддил синна гIяче гьарбе хъил вибикъу он свои изделия каждый день уносит домой; вибилгунзиб мих раскаленное железо; вибилгунзиб асла чIулучI раскаленная серебряная проволока; устадил ихьвле кьутIвибидакьай вибилгунзиб тахта мастер быстро отковал раскаленный лист,"несов. относить, уносить; гIячилла яракь синна муссана видикъи уносить рабочий инструмент на свое место; цIиквайла видикъужуд сикIабха тикле каттихьада уносимые невестой вещи положили отдельно; усул видикъи даццида устали перетаскивать (уносить) дрова;  иддил синна гIяче гьарбе хъил вибикъу он свои изделия каждый день уносит домой. || сов. вибукъи. ВИБИЛГУН/ЗИ-Б (мн. видилгунжуд); раскаленный; вибилгунзиб мих раскаленное железо; вибилгунзиб асла чIулучI раскаленная серебряная проволока; устадил ихьвле кьутIвибидакьай вибилгунзиб тахта мастер быстро отковал раскаленный лист."
1230,1,вибилж-и,"-ин, вибилгун, вибилгунзиб, -ин",wibilž-i,,"чалдан вибилжи накалить сталь; вибилгун бибшши отпустить накалив; илтте тиябе гIяхле видилжинну дибхьа, укIе гIяммудган эти клинки отпусти, хорошо накалив, сказал амузгинец","сов. нагреть, накалить; чалдан вибилжи накалить сталь; вибилгун бибшши отпустить накалив; илтте тиябе гIяхле видилжинну дибхьа, укIе гIяммудган эти клинки отпусти, хорошо накалив, сказал амузгинец. || несов. вилужи."
1231,1,вибилучч-и,"-ин, вибилуккун, вибилукунзиб, -ин",wibilučč-i,,"давать в долг, в ссуду; муте вибилуччи давать в долг золото","несов. давать в долг, в ссуду (под заказ на изготовление изделий); муте вибилуччи давать в долг золото (под заказ); устадил гIяче вахтижиб дакьахъи бахъубас вибиккай дал в долг серебро, чтобы мастер закончил работу вовремя; савдагартаддил талал эхъа бешахъи ппала видилуккун бужиб сав раньше торговцы давали ткачу в качестве ссуды шерсть (сырье). || сов. вибиччи."
1232,1,ви,"-ин, вибилкун, вибилкунзиб, -ин",wi,,"икигъан вибилчи подточить петлю; устал вибилчи подпилить мастерски; вибилкун, далга балчибдикахъай подточив, подогнал деталь к месту","сов. подточить; подпилить; икигъан вибилчи подточить петлю (замка); устал вибилчи подпилить мастерски; вибилкун, далга балчибдикахъай подточив, подогнал деталь к месту. || несов. вилучи."
1233,1,вибихьв-и,"-е, -уб, -узиб, -а",wibixw-i,,маяса вибихьви закладывать богатство (для бизнеса и др; вибихьуб давлалццил педа сякьяхъи устадихь биккай надо суметь получить доход от заложенного имущества,сов. и несов. закладывать; маяса вибихьви закладывать богатство (для бизнеса и др.); вибихьуб давлалццил педа сякьяхъи устадихь биккай надо суметь получить доход от заложенного имущества.
1234,1,вибихьв-и,"-ай, -уб, -убзиб, -а",wibixw-i,,,сов.
1235,1,вибихьв-и,пустить деньги (ценности) в оборот,wibixw-i,,,эбзиб къакъалла тIуппигала бисиб ас вибихьвад деньги за проданное кольцо с бриллиантом пустил в оборот;
1236,2,вибихьв-и,отдать в залог имущество (чтобы взять деньги в кредит),wibixw-i,,,"юрт вибихьуб, ас сатталчид взял кредит, заложив дом; вибихьубзиб эбзиб машина квисабалчин, сабалчунзиб асиццил педа бакьи ухуб заложенную дорогую машину вернул, сумев получить доход на взятый (за нее) кредит. || несов. вибихьви."
1237,1,виби,"-у, -ул, -узиб, -а",wibi,,"о вредной привычке: бросать; вибихьузиб ккуле гьакал гIямчIулде шкура, которую собирался выбросить, сильно полиняла","несов. о вредной привычке: бросать; пIапIруссади дилуккунжуд ас няхIякь видихьул сав деньги, потраченные на папиросы (курево), что выбрасывает (бросает на ветер); вибихьузиб ккуле гьакал гIямчIулде шкура, которую собирался выбросить, сильно полиняла. || сов. вибехьви."
1238,1,вибихьви/зи-б,,wibixwi/zi-b,,вибихьвизиб маясе первоначальный капитал; гали вибихьвизиб биккад дал сыну средства для первоначального капитала,"первоначальный капитал (стартовые средства в начале бизнеса); вибихьвизиб маясе  первоначальный капитал; гали вибихьвизиб биккад дал сыну средства для первоначального капитала (для бизнеса); вибихьвизиб гьадаккая, аттала хIюрмат бакьи биккай даже если отец не дал первоначальный капитал, его надо уважать."
1239,1,вибиц,"-ай, -иб, -ибзиб, -а",wibic,,дугъладил дехъв вибицIиб саб хлев замусорен щепками; бяччялдил вибицIибзиб вагьла къаттала ихьвле абдубакьи биккай замусоренный свой двор надо быстро расчищать,сов. замусорить; дугъладил дехъв вибицIиб саб хлев замусорен щепками; бяччялдил вибицIибзиб вагьла къаттала ихьвле абдубакьи биккай замусоренный свой двор надо быстро расчищать. || несов. вибицIи.
1240,1,виби,"-у, -ул, -узиб, -а",wibi,,"пачкать, мусорить (пол, двор и др; пичла хъал ихьвле бяччял вибицIул саб комната, где стоит печь, быстро пачкается (букв; хьурридил къаттала бяччялдил вибицIу ветер пачкает мусором двор; бяччял вибицIузиб муссана бухча викахьвай на быстро пачкающееся место постелили уборочную ткань","несов. пачкать, мусорить (пол, двор и др.); пичла хъал ихьвле бяччял вибицIул саб комната, где стоит печь, быстро пачкается (букв. мусориться); хьурридил къаттала бяччялдил вибицIу ветер пачкает мусором (мусорить) двор; бяччял вибицIузиб муссана бухча викахьвай на быстро пачкающееся место постелили уборочную ткань. || несов. вибицIи."
1241,1,ви/би,"-у, -ул, -узиб, -а",wi/bi,,вибицIузиб дихъя гноящаяся рана; тIуп вибицIул саб палец гноится; вибицIузиб тIупла микалгул дуле вигьаттагъай из нагнаивающегося ногтя выдавили гной; дармантаддил някъла дихъя вибицIихъи батати лекарства не позволили ране руки гноиться,несов. гноиться; вибицIузиб дихъя гноящаяся рана; тIуп вибицIул саб палец гноится; вибицIузиб тIупла микалгул дуле вигьаттагъай из нагнаивающегося ногтя выдавили гной; дармантаддил някъла дихъя вибицIихъи батати лекарства не позволили ране руки гноиться. || сов. вибицIи́.
1242,1,вибиццала,"-лдил, -лла видиццала",wibiccala,,отходы; нехла вибиццала отходы растопленного топленого масла; баразиб бяхъялалла хвалле вибиццала ага после растопки низкокачественного сливочного масла остаются много отходов,отходы (после растопки топленого масла); нехла вибиццала отходы растопленного топленого масла; баразиб бяхъялалла хвалле вибиццала ага после растопки низкокачественного сливочного масла остаются много отходов.
1243,1,ви,"/йичи, мн. I-II (/вичи, /йичи, /дичи), /бику, /бикул, /бикузиб, /бика",wi,,"I-II (/вичи, /йичи; /дичи), /бику, /бикул, /бикузиб, /бика; уводить, отводить, отвозить; мали вивичи сопровождать вьюки сена; цIиквай вахтижиб вийичи биккай невесту надо вовремя отводить в дом жениха; мацца дикьаже видичи вахт сабагъиб саб настало время перегнать овец на равнину; бикIате хъил вибикузив дуда я всегда отвожу детей домой","несов. уводить, отводить, отвозить; мали вивичи сопровождать вьюки сена (во время сенокоса); цIиквай вахтижиб вийичи биккай невесту надо вовремя отводить в дом жениха; мацца дикьаже видичи вахт сабагъиб саб настало время перегнать овец на равнину; бикIате хъил вибикузив дуда я всегда отвожу детей домой. || сов. вибучи."
1244,1,ви/бичч-и,"/йиччи, мн. I-II (/виччи, /йиччи, /диччи), /биккай, -иб, -ибзиб, /бикка",wi/bičč-i,,"I-II (/виччи, /йиччи; /диччи), /биккай, -иб, -ибзиб, /бикка; камандир вивиччи выдать командира; хIюкматла бягIнадишше видиччибзив хаин выдавший государственные секреты изменник; юлдаш вивиччивлихьая, савйа вивесесе выдав товарища, сам все равно не спасся","сов. выдать, предать; камандир вивиччи выдать командира; хIюкматла бягIнадишше видиччибзив хаин выдавший государственные секреты изменник; юлдаш вивиччивлихьая, савйа вивесесе выдав товарища, сам все равно не спасся. || несов. вибилуччи."
1245,1,ви/бичч-и,"/биккай, -иб, -ибзиб, /бикка",wi/bičč-i,,"цциххиннигу гьаццай вибиччи подпереть балку столбом; укьул вибиччиб, цциххин ахъабакьай подсунув доску поднял балку; ссала вибиччиб цциххин дибгабакьада клином укрепили матицу","сов. поддеть, подсунуть; цциххиннигу гьаццай вибиччи подпереть балку столбом; укьул вибиччиб, цциххин ахъабакьай подсунув доску поднял балку; ссала вибиччиб цциххин дибгабакьада клином укрепили матицу (несущую балку). || несов. вибилуччи."
1246,1,ви/бичч-и,"/биккай, -иб, -ибзиб, /бикка, (мн. /диччи), /биккай, -иб, -ибзиб, /бикка",wi/bičč-i,,"/диччи), /биккай, -иб, -ибзиб, /бикка; дать в залог; ас вибиччи дать в долг в счет чего-н; гIяче видиччи дать товар в виде готовых изделий",сов. дать в залог; ас вибиччи дать в долг в счет чего-н. деньги ; гIяче видиччи дать (за будущую услугу) товар в виде готовых изделий; устадил вибиччибзиб ас квадаккай мастер не вернул данные ему (в счет оплаты за будущий товар) деньги. || несов. вибилуччи.
1247,1,ви/бичч-и,"/йиччи, мн. I-II, (/виччи, /йиччи, /диччи), /биккай, -иб, -ибзиб, /бикка",wi/bičč-i,,"/диччи), /биккай, -иб, -ибзиб, /бикка","сов. выдать, предать; дявялла вахтижиб камандирте вибилуккунжубйа гьаттихъул бужиб саб во время войны находились и такие, кто выдавал (предавал) своих командиров. || несов. вибилуччи."
1248,1,ви/бишш-и,"вийишши, мн. I-II (вивишши, вийишши, видишши), вибихьхьай, -иб, -ибзиб, вибихьхьа, вибихьхьа",wi/bišš-i,,"I-II (вивишши, вийишши; видишши), вибихьхьай, -иб, -ибзиб, вибихьхьа, вибихьхьа; авлахъижиб вибишшибзиб сикIабха баккакай спрятанные в поле ценности не нашли; чумлая талал видишшибжуд сикIабха даччибжуд асад многие не смогли найти давно спрятанные свои вещи; Вибишши агага я иццала, я мискиндихь, я ухънадихь погов; не спрячешь ни болезнь, ни бедность, ни старость","сов. спрятать, утаить; авлахъижиб вибишшибзиб сикIабха баккакай спрятанные в поле ценности не нашли; чумлая талал видишшибжуд сикIабха даччибжуд асад многие не смогли найти давно спрятанные свои вещи. Вибишши агага я иццала, я мискиндихь, я ухънадихь погов. не спрячешь ни болезнь, ни бедность, ни старость. || несов. виби́шши."
1249,1,ви/би,"/йишши, мн. I-II (/вишши, /йишши, /дишши), -и, /бихьхьул, /бихьхьузиб, /бихьхьа",wi/bi,,"I-II (/вишши, /йишши; /дишши), -и, /бихьхьул, /бихьхьузиб, /бихьхьа; вибихьхьузиб хъалла маясе домашние ценности, которые прячут; сикIабха видишши устадихь бажизиб саб, укIе дене надо уметь прятать ценности, говорил сосед; Вибишши агага я иццала, я мискиндихь, я ухънадихь погов; не спрячешь ни болезнь, ни бедность, ни старость","несов. прятать, таить; вибихьхьузиб хъалла маясе домашние ценности, которые (обычно) прячут; сикIабха видишши устадихь бажизиб саб, укIе дене надо уметь прятать ценности, говорил сосед. Вибишши агага я иццала, я мискиндихь, я ухънадихь погов. не спрячешь ни болезнь, ни бедность, ни старость. || несов. вибишши."
1250,1,ви/би,"/йишши, мн. I-II (/вишши, /йишши, /дишши), /бихьхьу, /бихьхьул, /бихьхьузиб, /бихьхьа",wi/bi,,"I-II (/вишши, /йишши; /дишши), /бихьхьу, /бихьхьул, /бихьхьузиб, /бихьхьа; ххял улдил хъилигнатал хъалла сикIабха видихьхьу многие люди прячут от воров свои ценные вещи","несов. упрятать, утаивать; ххял улдил хъилигнатал хъалла сикIабха видихьхьу многие люди прячут от воров свои ценные вещи; мутилла сикIабха вихху муссана вибихьхьа, укIе атта золотые вещи прячь в надежном (уверенном) месте, говорил отец. || сов. вибишши."
1251,1,вибк,"усопший, бибкIуранте)",wibk,,вибкIуран ухъназивде усопший был старым человеком; вибкIуран хIурматла инсан вихве усопший был авторитетным человеком; вибкIуранна кIве гал тибал у усопшего остались два сына,"умерший, усопший; вибкIуран ухъназивде усопший был старым человеком; вибкIуран хIурматла инсан вихве усопший был авторитетным человеком; вибкIуранна кIве гал тибал у усопшего остались два сына."
1252,1,ви/букъ-и,"/бекъай, /бекъиб, /бекъибзиб, -а",wi/buq'-i,,"вибукъи ухизиб гьабалчид взял то, что мог унести; вибукъахъи кабишшибзиб къап мешок, который надо было отнести; устадил синна яракь хъил видекъай мастер отнес домой свои инструменты","сов.; отнести, унести; вибукъи ухизиб гьабалчид взял то, что мог унести; вибукъахъи кабишшибзиб къап мешок, который надо было отнести; устадил синна яракь хъил видекъай мастер отнес домой свои инструменты. || несов. вибикъи."
1253,1,ви/бу,"-ай, -иб, -ибзиб, -а",wi/bu,,дихьв вибуцIи бажил саб надо подтесать балку; вибуцIибзиб укьул балбикахъи ухе смог подогнать подтесанную доску; устадил цциххин дурусле вибуцIай мастер удачно подтесал бревно,сов. и несов. подтесать; дихьв вибуцIи бажил саб надо подтесать балку; вибуцIибзиб укьул балбикахъи ухе смог подогнать подтесанную доску; устадил цциххин дурусле вибуцIай мастер удачно подтесал бревно.
1254,1,ви/буц,"-у, -ул, -узиб, -а",wi/buc,,диг багьлал вибуцIи биккай мясо надо поджаривать медленно; пуварридил диг устал вибуцIул сав повар хорошо поджаривает мясо,несов. поджаривать (предварительно); диг багьлал вибуцIи биккай мясо надо поджаривать медленно; пуварридил диг устал вибуцIул сав повар хорошо поджаривает мясо. || сов. вибецIи.
1255,1,ви/бу,"-у, -ул, -узиб, -а",wi/bu,,"вибучузиб мус веник для уборки; вибучузиб мусса подметаемое место; ккайил сухъ бухая хъулбе видучи биккай надо подметать комнаты хотя бы раз в неделю; юссили хъайчибакьай, азбар вибучихъи дочери поручили подметать двор","несов. подметать; вибучузиб мус веник для уборки (подметания); вибучузиб мусса подметаемое место; ккайил сухъ бухая хъулбе видучи биккай надо подметать комнаты хотя бы раз в неделю; юссили хъайчибакьай, азбар вибучихъи дочери поручили подметать двор. || сов. вибучи."
1256,1,ви,"/ючи, /дучи), /бекай, /бечиб, /бечибзиб, /бука",wi,,"уче вибучи отвести коня; юхъна аба хъил виючи дам хъайбакьай поручили мне отвести бабушку домой; бикIате хъил вибечиб, ду гIячилже чарухад отведя детей домой, я вернулся на работу","сов. увести, отвести; уче вибучи отвести коня; юхъна аба хъил виючи дам хъайбакьай  поручили мне отвести бабушку домой; бикIате хъил вибечиб, ду гIячилже чарухад отведя детей домой, я вернулся на работу. || несов. вибичи."
1257,1,ви,"-ай, -иб, -ибзиб, -а",wi,,хъал вибучи подмести комнату; вибучибзиб тавханна убранная (букв; юссилдил абдул таккванна вибучибде девушка чисто подмела балконный коридор,сов. подмести; хъал вибучи подмести комнату; вибучибзиб тавханна убранная (букв. подметенная) гостиная; юссилдил абдул таккванна вибучибде девушка чисто подмела балконный коридор. || несов. вибу́чи.
1258,1,ви,"/ючи, мн. I-II (/учи, /ючи, /дучи), /бекай, /бечиб, /бечибзиб, /бука",wi,,"I-II (/учи, /ючи; /дучи), /бекай, /бечиб, /бечибзиб, /бука; увести, отвести, отвезти; цIиквай цIябгъдухилтаб вийекай невесту отвезли дотемна; мацца дикьаже видучи вахт саб время перегнать овец на равнину; бикIате хъил вибукахъи дам хъайчибакьай мне поручили отвести детей домой","сов. увести, отвести, отвезти; цIиквай цIябгъдухилтаб вийекай невесту отвезли (отвели в дом жениха) дотемна; мацца дикьаже видучи вахт саб время перегнать овец на равнину; бикIате хъил вибукахъи дам хъайчибакьай мне поручили отвести детей домой. || сов. вибучи́."
1259,1,ви/бу,"/букку, /буккул, /буккузиб, /букка",wi/bu,,"тIамсса вибуккулгьия лум имсдекун тисаттижин когда сворачивали ковер, увидели, что его края съела моль","несов. сворачивать; ччавалла чула буш вибуччихъи бикIате буссабикьи биккай по утрам убирать за собой постель детей учат; тIамсса вибуккулгьия лум имсдекун тисаттижин когда сворачивали ковер, увидели, что его края съела моль. || сов. вибаччи."
1260,1,вибякьякква/зиб,,wibæˁq'æˁkkwa/zib,,вибякьякквазиб кьюл яловая корова; видякьяккважуд кьарикке яловые телки,"яловая (корова); вибякьякквазиб кьюл яловая корова; видякьяккважуд кьарикке яловые телки; вибякьякквазиб кьюл я квибису, я ибхьне лухан яловую корову или продают, или забивают (режут) для заготовки мяса."
1261,1,вивгал,"-дил, -ла вибгуле",wiwgal,,ниссила вивгал наш пасынок; атта вивгалццила шшатте вякьин отец пошел с пасынком на прогулку; вивгал синна галдикьле цIизий хьунулле гьикьай жена вырастила пасынка как своего сына; БуцIезиб бегвала вивгали погов; больше тепла пасынку,пасынок; ниссила вивгал наш пасынок; атта вивгалццила шшатте вякьин отец пошел с пасынком на прогулку; вивгал синна галдикьле цIизий хьунулле гьикьай жена вырастила пасынка как своего сына. БуцIезиб бегвала вивгали погов. больше тепла (заботы) пасынку.
1262,1,ви/видулхъ-и,"-ин, -ун, -унзив, -ин, мн. I-II (/йидулхъи, /бидулхъи), -ин, -ун, -унзив, -ин",wi/widulq-i,,"/бидулхъи), -ин, -ун, -унзив, -ин; налуглигул вибидулхъи уклоняться от налога; яргалгул вивидулхъунзив уклоняющийся от очереди; гьар хъайбакьиблигул вивидулхъун, илдил уй чибидигъул сав уклоняясь от каждого обязательства, он обманывает людей","несов. уклоняться; налуглигул вибидулхъи уклоняться от налога; яргалгул вивидулхъунзив уклоняющийся от очереди; гьар хъайбакьиблигул вивидулхъун, илдил уй чибидигъул сав уклоняясь от каждого обязательства, он обманывает людей. || сов. вивидухъи."
