language,glottocode,id_word,meaning_id,lemma,ipa,definition,morphology,annotator,pos,reference,meaning_ru,examples
Kubachi,kuba1248,1514,1,гIюц-гIюцла // гIюццугIла,ʡ-ju-c-ʡ-ju-c-l-a//ʡ-ju-cc-u-ʡ-l-a,"-лдил, -лла; ед.;; гІюц-гІюцла - талалла хІяз саб это старая игра; гІюц-гІюцла бикьи играть в игу.","-лдил, -лла; ед.;",Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",кидание острого предмета для втыкания в землю на спор,гІюц-гІюцла - талалла хІяз саб это старая игра; гІюц-гІюцла бикьи играть в игу.
Kubachi,kuba1248,1515,1,гIючIюм,ʡ-ju-č'-ju-m,числ.; гІючІюм сяхІятІ девять часов; гІючІюм юлдаш девять товарищей; ушккуллиб бучІнилла дус гІючІюм бацла бихва учебный год в школе длится девять месяцев.,числ.,Polina Khutkina,num,"Magomedov, Saidov-Akkutta, 2016",девять,гІючІюм сяхІятІ девять часов; гІючІюм юлдаш девять товарищей; ушккуллиб бучІнилла дус гІючІюм бацла бихва учебный год в школе длится девять месяцев.
Kubachi,kuba1248,1516,1,гIючIюмал,ʡ-ju-č'-ju-m-a-l,числ.; гІючІюмал юлдаш сякьин пришли все девятеро товарищей; гІючІюмал уста бикьулде работало девятеро мастеров; гІючІюмал ххюл вибидажи все девятеро гостей уехало.,числ.,Polina Khutkina,num,"Magomedov, Saidov-Akkutta, 2016",девятеро,гІючІюмал юлдаш сякьин пришли все девятеро товарищей; гІючІюмал уста бикьулде работало девятеро мастеров; гІючІюмал ххюл вибидажи все девятеро гостей уехало.
Kubachi,kuba1248,1517,1,гIючIюмдяш,ʡ-ju-č'-ju-m-d-ja-š,числ.; гІючІюмдяш къуруш девятьсот рублей; гІючІюмдяш митІир масла девятьсот метров ткани; ттатта гІючІюмдяш дус бухуб саб этому надгробию девятьсот лет.,числ.,Polina Khutkina,num,"Magomedov, Saidov-Akkutta, 2016",девятьсот,гІючІюмдяш къуруш девятьсот рублей; гІючІюмдяш митІир масла девятьсот метров ткани; ттатта гІючІюмдяш дус бухуб саб этому надгробию девятьсот лет.
Kubachi,kuba1248,1518,1,гIючIюмжина,ʡ-ju-č'-ju-m-ʒ-̌-i-n-a,числ.; гІючІюмжина сякьин пришел девять раз; гІючІюмжина ахъабакьай поднял девять раз; дудил ицце гІючІюмжина гьаад я тебе девять раз сказал.,числ.,Polina Khutkina,num,"Magomedov, Saidov-Akkutta, 2016",девять раз,гІючІюмжина сякьин пришел девять раз; гІючІюмжина ахъабакьай поднял девять раз; дудил ицце гІючІюмжина гьаад я тебе девять раз сказал.
Kubachi,kuba1248,1519,1,гIючIюмибил,ʡ-ju-č'-ju-m-i-b-i-l,числ.; гІочІомибил абала викІазив девятый ребенок матери; гІочІомибил ккаласс девятый класс; нусса гІочІомибил дяхижид хІирдихулда мы живем на девятом этаже.,числ.,Polina Khutkina,num,"Magomedov, Saidov-Akkutta, 2016",девятый,гІочІомибил абала викІазив девятый ребенок матери; гІочІомибил ккаласс девятый класс; нусса гІочІомибил дяхижид хІирдихулда мы живем на девятом этаже.
Kubachi,kuba1248,1520,1,гIючIюмлидил,ʡ-ju-č'-ju-m-l-i-d-i-l,числ.; гІочІомлидил квибусай взялись вдевятером; гІочІомлидил гьаццай бекъай столб понесли вдевятером; гІочІомлидил бикІвзиб миквла щциххин вибекъай вдевятером отнесли тяжелую дубовую балку.,числ.,Polina Khutkina,num,"Magomedov, Saidov-Akkutta, 2016",вдевятером,гІочІомлидил квибусай взялись вдевятером; гІочІомлидил гьаццай бекъай столб понесли вдевятером; гІочІомлидил бикІвзиб миквла щциххин вибекъай вдевятером отнесли тяжелую дубовую балку.
Kubachi,kuba1248,1521,1,гIючмяк,ʡ-ju-č-m-ja-k,"-лидил, -ла; -ке; муттала гІочмяк плеть всадника; бухъинзиб гІочмяк длинный кнут; асла чидакьибзиб гІочмяк украшенная серебром плеть; гІочмяк бехи ударить кнутом; муттадил учи гІочмяклиццил бехай всадник ударил коня кнутом. ♦ГІочмяклигуб шше бумкки, кьюшлигуб шшанте бумкки фольк. под плетью село держал, под кулаком сельчан держал (о властном человеке).","-лидил, -ла; -ке",Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",кнут,"муттала гІочмяк плеть всадника; бухъинзиб гІочмяк длинный кнут; асла чидакьибзиб гІочмяк украшенная серебром плеть; гІочмяк бехи ударить кнутом; муттадил учи гІочмяклиццил бехай всадник ударил коня кнутом. ♦ГІочмяклигуб шше бумкки, кьюшлигуб шшанте бумкки фольк. под плетью село держал, под кулаком сельчан держал (о властном человеке)."
Kubachi,kuba1248,1522,1,гIяб,ʡ-ja-b,числ.; гIяб дарс три урока; гIяб гьинзе три яблока; ниссила викIазив гIяб дус ухуб сав нашему малышу исполнилось три года. ♦ГIяб дикIвла къабттан фольк. кафтан из трех мерок ткани. ♦ ГIябкIаппан къай клевер (трава).,числ.,Polina Khutkina,num,"Magomedov, Saidov-Akkutta, 2016",три,гIяб дарс три урока; гIяб гьинзе три яблока; ниссила викIазив гIяб дус ухуб сав нашему малышу исполнилось три года. ♦ГIяб дикIвла къабттан фольк. кафтан из трех мерок ткани. ♦ ГIябкIаппан къай клевер (трава).
Kubachi,kuba1248,1523,1,гIяб-агъв,ʡ-ja-b-a-ʁ-w,числ.; гIяб-агъв дус три-четыре года; гIяб-агъв мулут три-четыре минуты; гIяб-агъв бе дидагужила агъ гIяхбухе через три-четыре дня погода улучшилась.,числ.,Polina Khutkina,num,"Magomedov, Saidov-Akkutta, 2016",три-четыре,гIяб-агъв дус три-четыре года; гIяб-агъв мулут три-четыре минуты; гIяб-агъв бе дидагужила агъ гIяхбухе через три-четыре дня погода улучшилась.
Kubachi,kuba1248,1524,1,гIябал,ʡ-ja-b-a-l,числ.; гIябал гал трое ребят; гIябда хъулбе три дома (квартиры); гIябал уще бучIи бинкабехви все трое братьев поступили учиться.,числ.,Polina Khutkina,num,"Magomedov, Saidov-Akkutta, 2016",трое,гIябал гал трое ребят; гIябда хъулбе три дома (квартиры); гIябал уще бучIи бинкабехви все трое братьев поступили учиться.
Kubachi,kuba1248,1525,1,гIябдуссан,ʡ-ja-b-d-u-ss-a-n,гIябдуссан гал трехлетний ребенок; гIябдуссан кьюллидил къачча бакъай трехлетняя корова отелилась.,,Polina Khutkina,adj,"Magomedov, Saidov-Akkutta, 2016",трехлетний,гIябдуссан гал трехлетний ребенок; гIябдуссан кьюллидил къачча бакъай трехлетняя корова отелилась.
Kubachi,kuba1248,1526,1,гIябдяш,ʡ-ja-b-d-ja-š,числ.; гIябдяш къуруш триста рублей; гIябдяш кканц триста шагов; ниссила ушккуллиб гIябдяш бикIате бучIун саб в нашей школе учатся триста детей.,числ.,Polina Khutkina,num,"Magomedov, Saidov-Akkutta, 2016",триста,гIябдяш къуруш триста рублей; гIябдяш кканц триста шагов; ниссила ушккуллиб гIябдяш бикIате бучIун саб в нашей школе учатся триста детей.
Kubachi,kuba1248,1527,1,гIябибил,ʡ-ja-b-i-b-i-l,числ.; гIябибил юссе третья девушка; гIябибил юрт третий дом; гIябибил гьунзбалла ттутта уггацциб саб третья яблоня в цвету.,числ.,Polina Khutkina,num,"Magomedov, Saidov-Akkutta, 2016",третий,гIябибил юссе третья девушка; гIябибил юрт третий дом; гIябибил гьунзбалла ттутта уггацциб саб третья яблоня в цвету.
Kubachi,kuba1248,1528,1,гIябка/зи-б,ʡ-ja-b-k-a-/-z-i-b,гIябказиб панера трехслойная фанера; гIябкал лускатагузиб хIялуккуц трехслойный пирог; диже гIябкамла юргъан чикахъвай меня накрыли одеялом с тремя чехлами.,,Polina Khutkina,adj,"Magomedov, Saidov-Akkutta, 2016",трехслойный,гIябказиб панера трехслойная фанера; гIябкал лускатагузиб хIялуккуц трехслойный пирог; диже гIябкамла юргъан чикахъвай меня накрыли одеялом с тремя чехлами.
Kubachi,kuba1248,1529,1,гIябкал,ʡ-ja-b-k-a-l,нареч.; багъубзиб гIябкал чиахъай троекратно восстановил потраченное; гIябкал чикабишшиб чиблаллал ас чибиккай в троекратном размере вернул сумму долга; удил ассибзиб гIябкал эб саб купленное тобой троекратно дороже.,нареч.,Polina Khutkina,adv,"Magomedov, Saidov-Akkutta, 2016",троекратно,багъубзиб гIябкал чиахъай троекратно восстановил потраченное; гIябкал чикабишшиб чиблаллал ас чибиккай в троекратном размере вернул сумму долга; удил ассибзиб гIябкал эб саб купленное тобой троекратно дороже.
Kubachi,kuba1248,1530,1,гIябкуб,ʡ-ja-b-k-u-b,"-лидил, -ла; -те; гIябкубла далай песня из нескольких строк; гIябкуб гьаи сказать несколько слов; гIябкуб гьаахъи тамададил дам гьайгьаккай тамада дал мне слово, чтобы я сказал несколько слов. ♦ГIябкуб панайле(?) дугаб, пассажир машиндикьле фольк. пусть песня пропадет, как пассажир при аварии автомобиля.","-лидил, -ла; -те",Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",несколько слов,"гIябкубла далай песня из нескольких строк; гIябкуб гьаи сказать несколько слов; гIябкуб гьаахъи тамададил дам гьайгьаккай тамада дал мне слово, чтобы я сказал несколько слов. ♦ГIябкуб панайле(?) дугаб, пассажир машиндикьле фольк. пусть песня пропадет, как пассажир при аварии автомобиля."
Kubachi,kuba1248,1531,1,гIябмудан,ʡ-ja-b-m-u-d-a-n,"-нидил, -на; гIябмудне; дуруссиб гIябмудан правильный треугольник; ГIяммудгала шшилла дибала «гIябмудан» гьайлиццил агузиб бухилал саб название с. Амузги, возможно, образовалось от слова «треугольный».","-нидил, -на; гIябмудне",Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",треугольник,"дуруссиб гIябмудан правильный треугольник; ГIяммудгала шшилла дибала «гIябмудан» гьайлиццил агузиб бухилал саб название с. Амузги, возможно, образовалось от слова «треугольный»."
Kubachi,kuba1248,1532,1,гIябтIюмяр,ʡ-ja-b-t'-ju-m-ja-r,"-ридил, -ра; -те; хвалазиб гIябтііомяр большой треножник; гIябтііомяр гъаналццила акъан кабицци треножник с плитой поставили в очаг.","-ридил, -ра; -те",Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",треножник,хвалазиб гIябтііомяр большой треножник; гIябтііомяр гъаналццила акъан кабицци треножник с плитой поставили в очаг.
Kubachi,kuba1248,1533,1,гIябудар,ʡ-ja-b-u-d-a-r,"-ридил, -ра; ед.;; гIябудар цилла гIяшякле чяхя насыпь немного соли в каструлю; гъамла гIябудар шурпалже чяхяд насыпал в суп немного молотого перца; чантайлил гIябудар хъалла тIутIудиникаттухе из мешочка высыпалось чуть-чуть гороха.","-ридил, -ра; ед.;",Polina Khutkina,adv,"Magomedov, Saidov-Akkutta, 2016",чуть-чуть,гIябудар цилла гIяшякле чяхя насыпь немного соли в каструлю; гъамла гIябудар шурпалже чяхяд насыпал в суп немного молотого перца; чантайлил гIябудар хъалла тIутIудиникаттухе из мешочка высыпалось чуть-чуть гороха.
Kubachi,kuba1248,1534,1,гIябцIал,ʡ-ja-b-c'-a-l,числ.; гIябцІал мацца тридцать овец; гIябцІал цІи къуруш тридцать (новых) серебряных рублей; Рабадан бацла гІябцІал бе каттиче прошло тридцать дней месяца Рамазан.,числ.,Polina Khutkina,num,"Magomedov, Saidov-Akkutta, 2016",тридцать,гIябцІал мацца тридцать овец; гIябцІал цІи къуруш тридцать (новых) серебряных рублей; Рабадан бацла гІябцІал бе каттиче прошло тридцать дней месяца Рамазан.
Kubachi,kuba1248,1535,1,гIябцIалибил,ʡ-ja-b-c'-a-l-i-b-i-l,числ.; гIябцІалибил дус тридцатый год; гIябцІалибил китаб тридцатая книга; нахе кучалиб ниссила юрт гIябцІалибил нумиррра саб на этой улице наш дом тридцатый по номеру.,числ.,Polina Khutkina,num,"Magomedov, Saidov-Akkutta, 2016",тридцатый,гIябцІалибил дус тридцатый год; гIябцІалибил китаб тридцатая книга; нахе кучалиб ниссила юрт гIябцІалибил нумиррра саб на этой улице наш дом тридцатый по номеру.
Kubachi,kuba1248,1536,1,гIягIя,ʡ-ja-ʡ-ja,"-лдил, -ла; гІюгіне; цІубзиб гІягія белая курица; гІягіяла ппухІле перья курицы; гІягіядил синна ччибхІне чукурдакьай курица собрала своих цыплят. ♦Кябижиб гІягіядикьле ирон. как обвисшая курица (в смысле вид как у обвисшей перьями мокрой курицы).","-лдил, -ла; гІюгіне",Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",курица,цІубзиб гІягія белая курица; гІягіяла ппухІле перья курицы; гІягіядил синна ччибхІне чукурдакьай курица собрала своих цыплят. ♦Кябижиб гІягіядикьле ирон. как обвисшая курица (в смысле вид как у обвисшей перьями мокрой курицы).
Kubachi,kuba1248,1537,2,гIягIя,ʡ-ja-ʡ-ja,"-лдил, -ла; ед.;; гІягія сабну бати! оставь, кака! не трогай, не пачкайся! (обращение к ребенку).","-лдил, -ла; ед.;",Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",грязь,"гІягія сабну бати! оставь, кака! не трогай, не пачкайся! (обращение к ребенку)."
Kubachi,kuba1248,1538,1,гIягна // гIягнал,ʡ-ja-g-n-a//ʡ-ja-g-n-a-l,нареч.; гIягна гъунар бакъай совершил подвиг трижды; гIягна гIяххили укьи трижды ехать в поездку; дудил ицце гIягна гъаад я тебе трижды сказал. ♦ Гъвабзала гIягна бихва погов. букв. у богатыря бывает трижды (т.е. богатырь бывает удачлив и трижды).,нареч.,Polina Khutkina,adv,"Magomedov, Saidov-Akkutta, 2016",трижды,гIягна гъунар бакъай совершил подвиг трижды; гIягна гIяххили укьи трижды ехать в поездку; дудил ицце гIягна гъаад я тебе трижды сказал. ♦ Гъвабзала гIягна бихва погов. букв. у богатыря бывает трижды (т.е. богатырь бывает удачлив и трижды).
Kubachi,kuba1248,1539,1,гIягъвнакквал,ʡ-ja-ʁ-w-n-a-kk-w-a-l,"нареч.; гIягъвнакквал гIяче бакъай сделал работу без души; гIягъвнакквал ущул сав работает неаккуратно; гIяче гIягъвнакквал биькьаххан, уста агага если будет выполнять работу безразлично, мастером не станет.",нареч.,Polina Khutkina,adv,"Magomedov, Saidov-Akkutta, 2016",неаккуратно,"гIягъвнакквал гIяче бакъай сделал работу без души; гIягъвнакквал ущул сав работает неаккуратно; гIяче гIягъвнакквал биькьаххан, уста агага если будет выполнять работу безразлично, мастером не станет."
Kubachi,kuba1248,1540,1,гIягъвя/бакь-и(й),ʡ-ja-ʁ-w-ja-/-b-a-q'-ʔ-i-(-j-),"III (мн. гIягъвядакьи), -ай, -иб, -ибзиб, -а; хъулла мусса гIягъвябакъай удобрили участок огорода; гIягъвябакьибзиб гванза удобренная земля; хъу гIягъвабакьибжила басида огород вспахали после удобрения.; несов. гIягъвябикьи;","III (мн. гIягъвядакьи), -ай, -иб, -ибзиб, -а",Polina Khutkina,verb,"Magomedov, Saidov-Akkutta, 2016",удобрить,хъулла мусса гIягъвябакъай удобрили участок огорода; гIягъвябакьибзиб гванза удобренная земля; хъу гIягъвабакьибжила басида огород вспахали после удобрения.; несов. гIягъвябикьи;
Kubachi,kuba1248,1541,1,гIягъвя/бикь-и(й),ʡ-ja-ʁ-w-ja-/-b-i-q'-ʔ-i-(-j-),"III; (мн. гIягъвядикьи), -у, -ул, -узиб, -а; хъу гьаман гIягъвябикьида мы часто удобряем поле (огород); мусса-мусса гIягъвябикьулда хъу удобряем огород местами; гIягъвябикьузиб хъу гIяхле бухъа удобряемый огород дает хороший урожай.; сов. гIягъвябакьи;","III; (мн. гIягъвядикьи), -у, -ул, -узиб, -а",Polina Khutkina,verb,"Magomedov, Saidov-Akkutta, 2016",удобрять,хъу гьаман гIягъвябикьида мы часто удобряем поле (огород); мусса-мусса гIягъвябикьулда хъу удобряем огород местами; гIягъвябикьузиб хъу гIяхле бухъа удобряемый огород дает хороший урожай.; сов. гIягъвябакьи;
Kubachi,kuba1248,1542,1,гIягъвяк,ʡ-ja-ʁ-w-ja-k,"-лидил, -ла; -ке; ибхьне гIягъввк беттада осенью скосили траву, выросшую не перегное; гIягъввкидкьле гIяйвидижив сав растянулся, как лежебока; ниссила гIягъввк бусалла бе бегвалалтав киссун сав наш лежебока целый день лежит на солнце.","-лидил, -ла; -ке",Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016","трава, выросшая на перегное","ибхьне гIягъввк беттада осенью скосили траву, выросшую не перегное; гIягъввкидкьле гIяйвидижив сав растянулся, как лежебока; ниссила гIягъввк бусалла бе бегвалалтав киссун сав наш лежебока целый день лежит на солнце."
Kubachi,kuba1248,1543,2,гIягъвяк,ʡ-ja-ʁ-w-ja-k,,,Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",лежебока,
Kubachi,kuba1248,1544,1,гIягъвнак,ʡ-ja-ʁ-w-n-a-k,"-лидил, -ла; ед.;; гIягъвнаксив гал сын-бездельник; гIягъвнакла гIякьлу хвалазиб абихва ум бездельника бывает небольшим; азив гIягъвнак ади, укIул вихве сасамутил дицце атта какой же ты бездельник, говорил отец мне иногда.","-лидил, -ла; ед.;",Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",бездельник,"гIягъвнаксив гал сын-бездельник; гIягъвнакла гIякьлу хвалазиб абихва ум бездельника бывает небольшим; азив гIягъвнак ади, укIул вихве сасамутил дицце атта какой же ты бездельник, говорил отец мне иногда."
Kubachi,kuba1248,1545,1,гIядаб // гIязаб,ʡ-ja-d-a-b//ʡ-ja-z-a-b,"-лидил, -ла; -те; бикІвзиб гІядаб тяжелая мука; гІядаб ахъи пройти муку; аксив инсанниццил ухъне – хвалазиб гІядаб саб потеря близкого человека – большая и тяжелая мука.","-лидил, -ла; -те",Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",страдание,бикІвзиб гІядаб тяжелая мука; гІядаб ахъи пройти муку; аксив инсанниццил ухъне – хвалазиб гІядаб саб потеря близкого человека – большая и тяжелая мука.
Kubachi,kuba1248,1546,1,гIядабдихь,ʡ-ja-d-a-b-d-i-x,"-лидил, -ла; гIядабдище; бикІвзиб гІядабдихь тяжелая мука; гІядабдихь чикаттасси сабур бигу чтобы вынести страдание, нужно терпение; гІядабдихьлидил инжитвикьу страдание мучает.","-лидил, -ла; гIядабдище",Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",мука,"бикІвзиб гІядабдихь тяжелая мука; гІядабдихь чикаттасси сабур бигу чтобы вынести страдание, нужно терпение; гІядабдихьлидил инжитвикьу страдание мучает."
Kubachi,kuba1248,1547,1,гIядат,ʡ-ja-d-a-t,"-лидил, -ла; -е; гІяхсиб гІядат хороший обычай; гІядате дуццихьи соблюдать обычаи; ниссила шшилццид талигуйла гІядате налла лидал в нашем селе еще сохранились старые обычаи.","-лидил, -ла; -е",Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",обычай,гІяхсиб гІядат хороший обычай; гІядате дуццихьи соблюдать обычаи; ниссила шшилццид талигуйла гІядате налла лидал в нашем селе еще сохранились старые обычаи.
Kubachi,kuba1248,1548,1,гIядатли,ʡ-ja-d-a-t-l-i,нареч.; гІядатли сякьи чибукье пришлось прийти по привычке; гІядатли гІяххе бакъала ажи пришлось выполнить поручение формально; гІядатли салам биккад поздоровался формально.,нареч.,Polina Khutkina,adv,"Magomedov, Saidov-Akkutta, 2016",по привычке,гІядатли сякьи чибукье пришлось прийти по привычке; гІядатли гІяххе бакъала ажи пришлось выполнить поручение формально; гІядатли салам биккад поздоровался формально.
Kubachi,kuba1248,1549,1,гIядлу-ццигъа,ʡ-ja-d-l-u-cc-i-ʁ-a,"-лиди, -ла; ед. и мн.;; цІакькуд гІядлу-ціцгъа строгие порядки; гІядлу-ціцгъа буццихьи соблюдать порядок; гІядлу-ціцгъа чинадкІал литтухи бажил саб порядки должны быть везде.","-лиди, -ла; ед. и мн.;",Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",порядок,цІакькуд гІядлу-ціцгъа строгие порядки; гІядлу-ціцгъа буццихьи соблюдать порядок; гІядлу-ціцгъа чинадкІал литтухи бажил саб порядки должны быть везде.
Kubachi,kuba1248,1550,1,гIядрис // адрес,ʡ-ja-d-r-i-s//a-d-r-e-s,"-лидил, -ла; -се; цІизиб гІядрис новый адрес; бакІузиб гІядрис знакомый адрес; ила гІядрис хІясибле ду яне сякьид я пришел сюда по твоему адресу.","-лидил, -ла; -се",Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016",адрес,цІизиб гІядрис новый адрес; бакІузиб гІядрис знакомый адрес; ила гІядрис хІясибле ду яне сякьид я пришел сюда по твоему адресу.
Kubachi,kuba1248,1551,1,гIяжаб/бакь-и(й),ʡ-ja-ʒ-̌-a-b-/-b-a-q'-ʔ-i-(-j-),"III; мн. I-II (/вакьи, /якьи; /дакьи), -ай, -иб, -ибзиб, -а; ду гІяжабвакьай илла гъунарре меня удивил его подвиг; устала гІячилдил сякьюнжуб ххюле гІяжаббакьай работы мастера удивили всех гостей.; несов. гІяжаббикьи;","III; мн. I-II (/вакьи, /якьи; /дакьи), -ай, -иб, -ибзиб, -а",Polina Khutkina,verb,"Magomedov, Saidov-Akkutta, 2016","  удивить, ошеломить",ду гІяжабвакьай илла гъунарре меня удивил его подвиг; устала гІячилдил сякьюнжуб ххюле гІяжаббакьай работы мастера удивили всех гостей.; несов. гІяжаббикьи;
Kubachi,kuba1248,1552,1,гIяжаб/бикь-и(й),ʡ-ja-ʒ-̌-a-b-/-b-i-q'-ʔ-i-(-j-),"(/викьи, /йикьи; /дикьи), -у, -ул, -узиб, -а; гІяжаббикьизиб бакьутте поступок на удивление; паксиб гІячилдил гІяжаббикьу гІюгъбугла устабе хорошая работа поражает мастеров-кубачинцев; ила гъайлидил ду гІяжабвикьул сав твои слова удивляют меня.; сов. гІяжаббакьи;","(/викьи, /йикьи; /дикьи), -у, -ул, -узиб, -а",Polina Khutkina,verb,"Magomedov, Saidov-Akkutta, 2016"," удивлять, ошеломлять",гІяжаббикьизиб бакьутте поступок на удивление; паксиб гІячилдил гІяжаббикьу гІюгъбугла устабе хорошая работа поражает мастеров-кубачинцев; ила гъайлидил ду гІяжабвикьул сав твои слова удивляют меня.; сов. гІяжаббакьи;
Kubachi,kuba1248,1553,1,гIяжаб/бихв-и(й),ʡ-ja-ʒ-̌-a-b-/-b-i-χ-w-i-(-j-),"III; мн. I-II (/вихи, /йихви; /дихви), -и, -ул, -узиб, -е; шшатте сякьунжуб уй гІяжаббихва гІюгъбугла хабарри гости удивляются истории Кубачи; ххюле гІяжаббихвихьи тамалла ккалгІя, хвала мишит, талигуйла кьуллупше ва салте сикIабха таттикIу чтобы гости удивлялись, людям показывают старинную башню, здание пятничной мечети, старые колодцы и другие вещи.; сов. гIяжаббухи;","III; мн. I-II (/вихи, /йихви; /дихви), -и, -ул, -узиб, -е",Polina Khutkina,verb,"Magomedov, Saidov-Akkutta, 2016",удивляться,"шшатте сякьунжуб уй гІяжаббихва гІюгъбугла хабарри гости удивляются истории Кубачи; ххюле гІяжаббихвихьи тамалла ккалгІя, хвала мишит, талигуйла кьуллупше ва салте сикIабха таттикIу чтобы гости удивлялись, людям показывают старинную башню, здание пятничной мечети, старые колодцы и другие вещи.; сов. гIяжаббухи;"
Kubachi,kuba1248,1554,1,гIяжаб/бух-и(й),ʡ-ja-ʒ-̌-a-b-/-b-u-χ-ʔ-i-(-j-),"III; мн. I-II (/ухи, /юхи; /духи), -е, -уб, -убзиб, -е; багьккубзибли гIяжаббухи удивляться увиденному; тталил сякьунжуб уй гIяжаббухахьи шшилли хвалелле гIяхсиб буццара бакъай для того, чтобы удивить приезжих, много усилий приложил глава села.; несов. гIяжаббихви;","III; мн. I-II (/ухи, /юхи; /духи), -е, -уб, -убзиб, -е",Polina Khutkina,verb,"Magomedov, Saidov-Akkutta, 2016",удивиться,"багьккубзибли гIяжаббухи удивляться увиденному; тталил сякьунжуб уй гIяжаббухахьи шшилли хвалелле гIяхсиб буццара бакъай для того, чтобы удивить приезжих, много усилий приложил глава села.; несов. гIяжаббихви;"
Kubachi,kuba1248,1555,1,гIяжабдихь,ʡ-ja-ʒ-̌-a-b-d-i-x,"-лидил, -ла; гIяжабдишше; гIяхле укIагъизиб гIяжабдихь необыкновенное впечатление; гIяжабдихьлиццила чивгъул сав смотрит с удивлением; илла гIячилдил хвалазиб гIяжабдихь агахьай его работа произвела большое впечатление.","-лидил, -ла; гIяжабдишше",Polina Khutkina,noun,"Magomedov, Saidov-Akkutta, 2016","впечатление, удивление",гIяхле укIагъизиб гIяжабдихь необыкновенное впечатление; гIяжабдихьлиццила чивгъул сав смотрит с удивлением; илла гIячилдил хвалазиб гIяжабдихь агахьай его работа произвела большое впечатление.
Kubachi,kuba1248,1556,1,гIяжабле,ʡ-ja-ʒ-̌-a-b-l-e,"нареч.; гIяжабле бакьила, укIе учитIил учитель сказал, что обязательно сделает; гIяжабле сякьилла, укIе юлдаш непременно приду, сказал товарищ; гIяжабле чивгъулде удивленно смотрел.",нареч.,Polina Khutkina,adv,"Magomedov, Saidov-Akkutta, 2016",обязательно,"гIяжабле бакьила, укIе учитIил учитель сказал, что обязательно сделает; гIяжабле сякьилла, укIе юлдаш непременно приду, сказал товарищ; гIяжабле чивгъулде удивленно смотрел."
Kubachi,kuba1248,1557,2,гIяжабле,ʡ-ja-ʒ-̌-a-b-l-e,,,Polina Khutkina,adv,"Magomedov, Saidov-Akkutta, 2016",удивленно,
Kubachi,kuba1248,1558,1,гIязаб/бечI-и(й),ʡ-ja-z-a-b-/-b-e-č'-i-(-j-),"III; мн. I-II (/вечIи, /йечIи; /дечIи), /бекIай, -иб, -ибзиб, /бекIа; ду гIязабвекIай илдил он поистязал меня; нусса гIязабдекIай, гIяче ттабидадигъул замучил нас, не заканчивая срочную работу.; несов. гIязаббучIи;","III; мн. I-II (/вечIи, /йечIи; /дечIи), /бекIай, -иб, -ибзиб, /бекIа",Polina Khutkina,verb,"Magomedov, Saidov-Akkutta, 2016",замучить,"ду гIязабвекIай илдил он поистязал меня; нусса гIязабдекIай, гIяче ттабидадигъул замучил нас, не заканчивая срочную работу.; несов. гIязаббучIи;"
Kubachi,kuba1248,1559,1,гIязаб/бучI-и(й),ʡ-ja-z-a-b-/-b-u-č'-i-(-j-),"III; мн. I-II (/учIи, /ючIи; /дучIи); /букIу, /букIул, /букIузиб, /букIа; ма дакьи вихехуммутил, гIязаббукIихьи хьалла хIяйван бажил асаб если нет возможности заготовить сено, не надо мучить домашнее животное (голодом).; сов. гIязаббечIи;","III; мн. I-II (/учIи, /ючIи; /дучIи); /букIу, /букIул, /букIузиб, /букIа",Polina Khutkina,verb,"Magomedov, Saidov-Akkutta, 2016",мучить,"ма дакьи вихехуммутил, гIязаббукIихьи хьалла хIяйван бажил асаб если нет возможности заготовить сено, не надо мучить домашнее животное (голодом).; сов. гIязаббечIи;"
Kubachi,kuba1248,1560,1,гIязиз/бакь-и(й),ʡ-ja-z-i-z-/-b-a-q'-ʔ-i-(-j-),"III; мн. I-II (/вакьи, /йакьи; /дакьи); -ай, -иб, -ибзиб, -а; муттикьядил гIязизбакьибзиб уче измученная наездником лошадь; иццалалди дила чах гIязизбакьай болезнь измучила мое тело.; сов. гIязизбикьи;","III; мн. I-II (/вакьи, /йакьи; /дакьи); -ай, -иб, -ибзиб, -а",Polina Khutkina,verb,"Magomedov, Saidov-Akkutta, 2016",испытать,муттикьядил гIязизбакьибзиб уче измученная наездником лошадь; иццалалди дила чах гIязизбакьай болезнь измучила мое тело.; сов. гIязизбикьи;
